,user_in_role_id,interval_end,physicalactivity_calories,physicalactivity_intense_time,physicalactivity_moderate_time,physicalactivity_soft_time,cluster,max_probability
48,68,2017-02-26 01:00:00,0.739241411,0.0,0.0,0.0,1,0.9999999980670964
49,68,2017-02-27 01:00:00,0.739241411,0.0,0.0,0.0,1,0.999999998066869
50,68,2017-02-28 01:00:00,0.739241411,0.0,0.0,0.0,1,0.9999999725957881
58,68,2017-03-01 01:00:00,0.803037632,0.0,0.176470588,0.08340154799999999,2,0.9999999999690772
69,68,2017-03-02 01:00:00,0.820391276,0.0,0.102941176,0.106568644,2,0.9997746502412402
80,68,2017-03-03 01:00:00,0.7987364290000001,0.0,0.073529412,0.08247486400000001,2,0.9805636927811047
83,68,2017-03-04 01:00:00,0.825905448,0.0,0.147058824,0.125102321,2,0.9997236579381961
84,68,2017-03-05 01:00:00,0.755129073,0.0,0.0,0.043554142000000004,1,0.9999779806874386
85,68,2017-03-06 01:00:00,0.754005403,0.0,0.0,0.038920722000000005,1,0.9999985583261992
86,68,2017-03-07 01:00:00,0.8261807840000001,0.0,0.132352941,0.13900257900000001,2,0.9999999999242846
87,68,2017-03-08 01:00:00,0.82474457,0.0,0.058823529000000006,0.11861553400000001,2,0.9927858474876206
88,68,2017-03-09 01:00:00,0.840952218,0.0,0.176470588,0.13900257900000001,2,0.9999622547698056
59,68,2017-03-10 01:00:00,0.812034439,0.0,0.058823529000000006,0.11676216699999999,2,0.9758809027165393
60,68,2017-03-11 01:00:00,0.830898713,0.0,0.102941176,0.11212874699999999,2,0.9995072647125295
61,68,2017-03-12 01:00:00,0.74994977,0.0,0.0,0.025947148,1,0.99997091264517
62,68,2017-03-13 01:00:00,0.751817593,0.0,0.0,0.032433935,1,0.9999993004505714
63,68,2017-03-14 01:00:00,0.814073418,0.0,0.058823529000000006,0.13900257900000001,2,0.8838293411076704
64,68,2017-03-15 01:00:00,0.8172509509999999,0.0,0.058823529000000006,0.14085594699999998,2,0.9854607907401887
65,68,2017-03-16 01:00:00,0.85366979,0.0,0.235294118,0.21591734,2,0.999983594681871
66,68,2017-03-17 01:00:00,0.867205929,0.0,0.279411765,0.24001112,2,0.9999635240457931
67,68,2017-03-18 01:00:00,0.832900484,0.0,0.220588235,0.173289882,2,0.9999310716319322
68,68,2017-03-19 01:00:00,0.8006265770000001,0.0,0.029411765,0.177938746,1,0.8739233187480677
70,68,2017-03-20 01:00:00,0.7945617309999999,0.0,0.0,0.172378643,1,0.9778988529026794
71,68,2017-03-21 01:00:00,0.835207358,1.0,0.19117647100000001,0.187205585,0,1.0
72,68,2017-03-22 01:00:00,0.8346864509999999,0.0,0.235294118,0.169583147,2,1.0
73,68,2017-03-23 01:00:00,0.8392481079999999,0.0,0.235294118,0.180703353,2,0.9999822452746701
74,68,2017-03-24 01:00:00,0.8169384059999999,0.0,0.058823529000000006,0.19738366300000001,2,0.9985809824839094
75,68,2017-03-25 01:00:00,0.826024512,0.0,0.176470588,0.15846294,2,0.9999642710816357
76,68,2017-03-26 01:00:00,0.8471286859999999,0.0,0.014705882,0.29192086100000003,2,0.8900582200310102
77,68,2017-03-27 02:00:00,0.774797032,0.0,0.0,0.131604553,1,0.987847145538584
78,68,2017-03-28 01:00:00,0.8535656079999999,0.0,0.294117647,0.17514325,2,0.9999996617128207
79,68,2017-03-29 01:00:00,0.850388076,0.0,0.147058824,0.262266978,2,0.9999673393876455
81,68,2017-03-30 01:00:00,0.852181484,0.0,0.308823529,0.180718798,2,0.9999703631627955
82,68,2017-03-31 01:00:00,0.8623466120000001,0.0,0.102941176,0.290978733,2,0.9998780114419298
89,68,2017-04-01 01:00:00,0.867414292,0.0,0.117647059,0.27522510699999997,2,0.9999252586924137
100,68,2017-04-02 01:00:00,0.8280783740000001,0.0,0.029411765,0.231670965,2,0.980176479749476
111,68,2017-04-03 01:00:00,0.826314732,0.0,0.044117647,0.227022101,2,0.9946006234440113
113,68,2017-04-04 01:00:00,0.8817243509999999,0.0,0.352941176,0.24186448800000002,2,0.9998665538820197
114,68,2017-04-05 01:00:00,0.866923151,0.0,0.20588235300000002,0.245571223,2,1.0
115,68,2017-04-06 01:00:00,0.8738660970000001,1.0,0.161764706,0.251131327,0,1.0
116,68,2017-04-07 01:00:00,0.902843408,0.0,0.367401961,0.263209106,2,1.0
117,68,2017-04-08 01:00:00,0.870390903,0.0,0.161764706,0.249277959,2,0.9999674448867275
118,68,2017-04-09 01:00:00,0.91123001,0.0,0.514705882,0.21960863100000003,2,0.9861821234232002
