,user_in_role_id,interval_end,walk_distance,walk_steps,cluster,max_probability
10,68,2017-01-02 01:00:00,0.148011021,0.154461704,4,1.0
21,68,2017-01-03 01:00:00,0.146977785,0.155066909,4,0.9999999996154543
24,68,2017-01-04 01:00:00,0.303857413,0.317530765,0,0.930014536919429
25,68,2017-01-05 01:00:00,0.217840537,0.230448524,4,0.999966227274514
26,68,2017-01-06 01:00:00,0.181935595,0.191446439,4,0.9999999912156454
27,68,2017-01-07 01:00:00,0.20768038600000002,0.213704526,4,0.9999993081856479
28,68,2017-01-08 01:00:00,0.244704667,0.2528411,4,0.9994385835036783
29,68,2017-01-09 01:00:00,0.24237988600000002,0.254723959,4,0.9973392142866636
0,68,2017-01-10 01:00:00,0.421732392,0.42525721200000005,0,0.9370875975953933
1,68,2017-01-11 01:00:00,0.440588944,0.43843722700000004,0,0.5785763237318409
2,68,2017-01-12 01:00:00,0.38651627299999997,0.384775738,0,0.9974902897573292
3,68,2017-01-13 01:00:00,0.436025486,0.42485374200000003,0,0.8178366396408551
4,68,2017-01-14 01:00:00,0.353624935,0.354851725,0,0.9999306403358261
5,68,2017-01-15 01:00:00,0.244876873,0.25701028800000003,4,0.9963354301275424
6,68,2017-01-16 01:00:00,0.142414328,0.15076323,4,0.9999999994064979
7,68,2017-01-17 01:00:00,0.38074737399999997,0.39156748,0,0.9985742138238242
8,68,2017-01-18 01:00:00,0.558980541,0.554771031,3,0.999949873428275
9,68,2017-01-19 01:00:00,0.42405717200000004,0.433662834,0,0.6752189833550102
11,68,2017-01-20 01:00:00,0.37041501600000004,0.377983996,0,0.9992854585481831
12,68,2017-01-21 01:00:00,0.44007232700000004,0.429762625,0,0.732478346397477
13,68,2017-01-22 01:00:00,0.191493026,0.20240737,4,0.9999997308498016
14,68,2017-01-23 01:00:00,0.23230583800000001,0.240737005,4,0.9996830591339624
15,68,2017-01-24 01:00:00,0.414327536,0.41241342200000003,0,0.9678287164244129
16,68,2017-01-25 01:00:00,0.568021354,0.577230852,3,0.9979052911584476
17,68,2017-01-26 01:00:00,0.40322025100000003,0.395669424,0,0.9628870480414059
18,68,2017-01-27 01:00:00,0.561994145,0.547710309,3,0.9990064752208078
19,68,2017-01-28 01:00:00,0.425607026,0.42250016799999995,0,0.8001378765847244
20,68,2017-01-29 01:00:00,0.15085241900000002,0.15809293300000002,4,0.9999999990304218
22,68,2017-01-30 01:00:00,0.21577406600000001,0.22675005,4,0.9999493107925109
23,68,2017-01-31 01:00:00,0.44937144799999995,0.446237644,3,0.9945136712594718
30,68,2017-02-01 01:00:00,0.6375925610000001,0.6278663170000001,2,0.9834096588476172
41,68,2017-02-02 01:00:00,0.47976579999999996,0.48604666799999996,3,0.9993976825279173
51,68,2017-02-03 01:00:00,0.416394007,0.41100127799999997,0,0.8367512308497596
52,68,2017-02-04 01:00:00,0.482865507,0.484365544,3,1.0
53,68,2017-02-05 01:00:00,0.8522472879999999,0.839956963,2,1.0
54,68,2017-02-06 01:00:00,0.28930601,0.30287136,0,0.9999972631440464
55,68,2017-02-07 01:00:00,0.5755123129999999,0.56976666,3,0.9999995557355269
56,68,2017-02-08 01:00:00,0.575684519,0.568489005,3,0.8445394654883466
57,68,2017-02-09 01:00:00,0.568365765,0.57084258,3,0.8719607588722981
31,68,2017-02-10 01:00:00,0.484243155,0.48779503700000004,3,1.0
32,68,2017-02-11 01:00:00,1.0,1.0,2,1.0
33,68,2017-02-12 01:00:00,0.04537627,0.046936991,1,1.0
34,68,2017-02-13 01:00:00,0.35913552600000004,0.37246990799999996,0,0.9999991874542961
35,68,2017-02-14 01:00:00,0.356208025,0.355725909,0,0.9999999999857323
36,68,2017-02-15 01:00:00,0.0,0.0,1,1.0
37,68,2017-02-16 01:00:00,0.0,0.0,1,1.0
38,68,2017-02-17 01:00:00,0.0,0.0,1,1.0
39,68,2017-02-18 01:00:00,0.0,0.0,1,1.0
40,68,2017-02-19 01:00:00,0.0,0.0,1,1.0
42,68,2017-02-20 01:00:00,0.0,0.0,1,1.0
43,68,2017-02-21 01:00:00,0.0,0.0,1,1.0
44,68,2017-02-22 01:00:00,0.0,0.0,1,1.0
45,68,2017-02-23 01:00:00,0.0,0.0,1,1.0
46,68,2017-02-24 01:00:00,0.0,0.0,1,1.0
47,68,2017-02-25 01:00:00,0.0,0.0,1,1.0
48,68,2017-02-26 01:00:00,0.0,0.0,1,1.0
49,68,2017-02-27 01:00:00,0.0,0.0,1,0.9999999999999432
50,68,2017-02-28 01:00:00,0.0,0.0,1,0.9999998309900918
58,68,2017-03-01 01:00:00,0.244704667,0.284580728,4,0.8095152778071164
69,68,2017-03-02 01:00:00,0.311176167,0.35680182899999996,0,0.997952900379491
80,68,2017-03-03 01:00:00,0.228172895,0.265348665,4,0.9911688070620813
83,68,2017-03-04 01:00:00,0.3323575,0.386524107,0,0.9999775041438539
84,68,2017-03-05 01:00:00,0.060960909,0.070876202,1,0.9997980832639106
85,68,2017-03-06 01:00:00,0.056569657,0.06583282900000001,1,0.9993029517923651
86,68,2017-03-07 01:00:00,0.333390735,0.382623899,0,0.999997031228277
87,68,2017-03-08 01:00:00,0.327880145,0.381346244,0,0.999951912625346
88,68,2017-03-09 01:00:00,0.390046496,0.448389483,0,0.9367617824902446
59,68,2017-03-10 01:00:00,0.279145858,0.324658732,0,0.9852581656600478
60,68,2017-03-11 01:00:00,0.351472361,0.408782194,0,0.9999992309595997
61,68,2017-03-12 01:00:00,0.041071121,0.047743930999999996,1,0.9999992514998967
62,68,2017-03-13 01:00:00,0.048217668,0.056082308,1,0.9999048160238184
63,68,2017-03-14 01:00:00,0.28698123,0.333736803,0,0.9968810711625703
64,68,2017-03-15 01:00:00,0.299207853,0.31396678100000003,0,0.9953151271093451
65,68,2017-03-16 01:00:00,0.438866885,0.43715957200000005,3,0.5898264984573219
66,68,2017-03-17 01:00:00,0.490786981,0.49109004100000003,3,0.9979434293596171
67,68,2017-03-18 01:00:00,0.35913552600000004,0.352363661,0,0.9998746183620156
68,68,2017-03-19 01:00:00,0.235405545,0.248671912,4,0.9991924611822373
70,68,2017-03-20 01:00:00,0.212157741,0.22298433199999998,4,0.9999889527706213
71,68,2017-03-21 01:00:00,0.36800413299999996,0.36930939399999996,0,0.9999195468045441
72,68,2017-03-22 01:00:00,0.366023764,0.35794499399999996,0,0.9999113319141901
73,68,2017-03-23 01:00:00,0.383588772,0.38450675799999995,0,0.9990246764100871
74,68,2017-03-24 01:00:00,0.298002411,0.310335552,0,0.9897817772257104
75,68,2017-03-25 01:00:00,0.33278801399999997,0.331315984,0,0.9998563797813254
76,68,2017-03-26 01:00:00,0.41381091799999997,0.434671508,0,0.9050045345696487
77,68,2017-03-27 02:00:00,0.136387119,0.143836998,4,0.999999718786722
78,68,2017-03-28 01:00:00,0.43843637,0.433259364,0,0.7952021290243837
79,68,2017-03-29 01:00:00,0.42629585,0.43231793399999996,0,0.690124134363603
81,68,2017-03-30 01:00:00,0.433097985,0.438773452,3,0.5961537783153593
82,68,2017-03-31 01:00:00,0.472102635,0.486248403,3,0.9952729884573525
89,68,2017-04-01 01:00:00,0.491561908,0.504875261,3,0.9981027370084167
100,68,2017-04-02 01:00:00,0.340709489,0.352363661,0,0.9999296271748925
111,68,2017-04-03 01:00:00,0.333907353,0.347253043,0,0.9999591240050066
113,68,2017-04-04 01:00:00,0.546409506,0.552551947,3,0.999998116014366
114,68,2017-04-05 01:00:00,0.489667643,0.486920853,3,0.9948090015194575
115,68,2017-04-06 01:00:00,0.516273463,0.517113846,3,0.9998495149101937
116,68,2017-04-07 01:00:00,0.6275185120000001,0.632304485,2,0.9842321902692892
117,68,2017-04-08 01:00:00,0.502927501,0.506556385,3,0.9999998756026194
118,68,2017-04-09 01:00:00,0.659721026,0.646493175,2,0.9989506045488765
90,68,2017-04-10 01:00:00,0.43585328100000004,0.446103154,3,0.8766294543792447
91,68,2017-04-11 01:00:00,0.157396246,0.161858651,4,0.999999984206113
92,68,2017-04-12 01:00:00,0.401670398,0.405419945,0,0.9961630096685388
93,68,2017-04-13 01:00:00,0.371706561,0.381346244,0,0.9995706009774511
94,68,2017-04-14 01:00:00,0.400723265,0.41012709299999994,0,0.9886886461749328
95,68,2017-04-15 01:00:00,0.36395729299999996,0.36695582,0,0.9998872052922249
96,68,2017-04-16 01:00:00,0.07861202,0.083383767,4,0.899246837836687
97,68,2017-04-17 01:00:00,0.125538144,0.128639634,4,1.0
98,68,2017-04-18 01:00:00,0.696400895,0.713132943,2,0.9999997142029837
99,68,2017-04-19 01:00:00,0.529533322,0.53136978,3,0.9999990575753834
101,68,2017-04-20 01:00:00,0.156018598,0.162598346,4,0.9999999837935435
102,68,2017-04-21 01:00:00,0.322369554,0.33366955800000003,0,0.9947703834283845
