,user_in_role_id,interval_end,sleep_awake_time,sleep_deep_time,sleep_light_time,sleep_tosleep_time,sleep_wakeup_num,cluster,max_probability
7,68,2017-01-02 12:32:00,0.14084507,0.131578947,0.158602151,0.0,0.28571428600000004,1,1.0
17,68,2017-01-03 11:31:00,0.0,0.148026316,0.134408602,0.0,0.0,1,0.9996672671231179
19,68,2017-01-04 11:11:00,0.169014085,0.190789474,0.206989247,0.095238095,0.14285714300000002,1,0.9999251337267879
20,68,2017-01-05 11:40:00,0.521126761,0.184210526,0.21236559100000002,0.095238095,0.7142857140000001,0,0.9999988829147228
21,68,2017-01-06 10:52:00,0.21126760600000002,0.121710526,0.005376344,0.0,0.28571428600000004,1,0.9427003029442169
22,68,2017-01-07 11:47:00,0.08450704199999999,0.08552631599999999,0.11559139800000001,0.14285714300000002,0.14285714300000002,1,0.9999459752630081
23,68,2017-01-08 12:03:00,0.14084507,0.161184211,0.491935484,0.0,0.28571428600000004,3,0.998190094921433
0,68,2017-01-12 07:45:00,0.14084507,0.190789474,0.36827957,0.0,0.14285714300000002,3,0.9743030587156671
1,68,2017-01-13 07:50:00,0.5915492960000001,0.299342105,0.661290323,0.0,0.857142857,0,0.990243094757822
2,68,2017-01-14 11:24:00,0.6056338029999999,0.20394736800000002,1.0,0.0,1.0,0,0.99993812549683
3,68,2017-01-15 12:09:00,0.436619718,0.131578947,0.596774194,0.0,0.7142857140000001,3,0.6500326225278755
4,68,2017-01-17 07:45:00,0.436619718,0.144682018,0.513485663,0.0,0.571428571,3,0.9939835368259203
5,68,2017-01-18 07:46:00,0.29577464800000003,0.180921053,0.309139785,0.14285714300000002,0.428571429,2,0.9521971593768013
6,68,2017-01-19 07:45:00,0.042253520999999995,0.0625,0.139784946,0.0,0.14285714300000002,1,0.9917574399765211
8,68,2017-01-20 07:46:00,0.098591549,0.21381578899999998,0.258064516,0.0,0.14285714300000002,1,0.8946145562424381
9,68,2017-01-21 10:06:00,0.21126760600000002,0.075657895,0.260752688,0.0,0.28571428600000004,1,0.6281846964480647
10,68,2017-01-22 11:42:00,0.549295775,0.401315789,0.612903226,0.14285714300000002,0.857142857,0,0.9999999834313941
11,68,2017-01-24 07:40:00,0.408450704,0.161184211,0.333333333,0.0,0.428571429,3,0.9803991162260256
12,68,2017-01-25 07:43:00,0.12676056300000002,0.069078947,0.284946237,0.0,0.14285714300000002,1,0.9009530895360737
13,68,2017-01-26 04:05:00,0.112676056,0.174342105,0.10752688199999999,0.0,0.14285714300000002,1,0.9975090547558718
14,68,2017-01-27 02:06:00,0.267605634,0.042763157999999996,0.21236559100000002,0.14285714300000002,0.14285714300000002,1,0.9994685411166573
15,68,2017-01-28 11:33:00,0.6338028170000001,0.345394737,0.8870967740000001,0.0,0.7142857140000001,0,0.9973994647721999
16,68,2017-01-29 11:35:00,0.5915492960000001,0.3125,0.521505376,0.0,0.857142857,0,0.9790879963386154
18,68,2017-01-31 07:31:00,0.056338028,0.131578947,0.580645161,0.0,0.14285714300000002,3,0.9997048053834422
24,68,2017-02-01 07:22:00,0.450704225,0.1875,0.327956989,0.14285714300000002,0.428571429,2,0.8320092367813179
29,68,2017-02-02 07:45:00,0.732394366,0.302631579,0.64516129,0.523809524,0.571428571,0,0.9986733388620694
30,68,2017-02-03 07:45:00,0.6478873239999999,0.289473684,0.696236559,0.333333333,0.7142857140000001,0,0.9999999968724751
31,68,2017-02-04 11:17:00,0.49295774600000003,0.47362938600000004,0.986603943,0.0,0.571428571,0,0.9205030736951183
32,68,2017-02-05 10:53:00,0.32394366199999997,0.424342105,0.193548387,0.0,0.28571428600000004,3,0.9977761454735088
33,68,2017-02-06 07:44:00,0.21126760600000002,0.256578947,0.18279569899999998,0.0,0.428571429,3,0.9843556593241145
34,68,2017-02-07 07:21:00,0.338028169,0.31578947399999996,0.389784946,0.0,0.428571429,3,0.9839112950624497
35,68,2017-02-08 07:45:00,0.32394366199999997,0.424342105,0.41129032299999996,0.23809523800000001,0.428571429,0,0.8731663216822205
36,68,2017-02-09 07:45:00,0.253521127,0.266447368,0.309139785,0.0,0.28571428600000004,3,0.9931005440617272
25,68,2017-02-10 03:53:00,0.253521127,0.292763158,0.150537634,0.095238095,0.428571429,2,0.9621146028690127
26,68,2017-02-11 11:42:00,0.507042254,0.39473684200000003,0.408602151,0.0,0.571428571,3,0.8616730198748287
27,68,2017-02-12 09:58:00,0.46478873200000004,0.35526315799999997,0.319892473,0.0,0.428571429,3,0.9767514213649793
28,68,2017-02-13 07:24:00,0.507042254,0.21710526300000002,0.330645161,0.0,0.571428571,3,0.9423123024790975
37,68,2017-03-15 07:44:00,0.21126760600000002,0.243421053,0.698924731,0.0,0.28571428600000004,3,0.9978538012798978
38,68,2017-03-17 07:50:00,0.281690141,0.296052632,0.532258065,0.0,0.428571429,3,0.9961947552329442
39,68,2017-03-18 10:29:00,0.366197183,0.200657895,0.594086022,0.0,0.571428571,3,0.9773211428142425
40,68,2017-03-19 12:04:00,0.253521127,0.25,0.634408602,0.0,0.571428571,3,0.9866336760105537
41,68,2017-03-21 07:49:00,0.183098592,0.098684211,0.327956989,0.0,0.28571428600000004,3,0.9897686858593407
42,68,2017-03-24 07:48:00,0.309859155,0.049342105,0.583333333,0.0,0.428571429,3,0.9940916161273166
43,68,2017-03-25 11:22:00,0.38028169,0.717105263,0.760752688,0.14285714300000002,0.7142857140000001,0,1.0
44,68,2017-03-26 12:42:00,0.436619718,0.546052632,0.720430108,0.0,0.571428571,0,0.5190123508405833
45,68,2017-03-27 07:46:00,0.281690141,0.144736842,0.34408602200000005,0.0,0.28571428600000004,3,0.994503080065994
46,68,2017-03-28 07:52:00,0.028169014,0.10526315800000001,0.564516129,0.0,0.14285714300000002,3,0.9996086139151535
47,68,2017-03-29 07:45:00,0.12676056300000002,0.049342105,0.27688172,0.0,0.14285714300000002,3,0.7502920908982644
48,68,2017-03-30 07:57:00,0.253521127,0.11842105300000001,0.266129032,0.0,0.428571429,3,0.991169853650384
49,68,2017-03-31 07:40:00,0.450704225,0.328947368,0.448924731,0.0,0.571428571,3,0.956611801693352
50,68,2017-04-01 11:16:00,0.014084507,0.37828947399999996,0.634408602,0.0,0.14285714300000002,3,0.9991938332507598
61,68,2017-04-02 10:59:00,0.23943662,0.335526316,0.588709677,0.0,0.571428571,3,0.999934152820755
72,68,2017-04-03 03:44:00,0.366197183,0.134868421,0.11827957,0.7142857140000001,0.28571428600000004,2,0.9999990210503955
74,68,2017-04-05 07:45:00,0.507042254,0.266447368,0.663978495,0.23809523800000001,0.428571429,0,0.9966613851117537
75,68,2017-04-06 06:10:00,0.309859155,0.302631579,0.505376344,0.047619048,0.28571428600000004,0,0.6942958301639441
76,68,2017-04-07 07:29:00,0.422535211,0.486842105,0.271505376,0.095238095,0.428571429,0,0.9904769843769529
77,68,2017-04-08 12:09:00,0.19718309899999997,0.638157895,0.63172043,0.0,0.428571429,3,0.968401421268621
78,68,2017-04-09 11:19:00,0.29577464800000003,0.598684211,0.204301075,0.0,0.428571429,3,0.9922215664128236
51,68,2017-04-10 09:30:00,0.816901408,0.17763157899999998,0.303763441,0.0,0.7142857140000001,0,0.9747612894002303
52,68,2017-04-11 07:48:00,0.098591549,0.174342105,0.0,0.0,0.28571428600000004,3,0.5439902880525654
53,68,2017-04-12 07:44:00,0.12676056300000002,0.200657895,0.478494624,0.0,0.28571428600000004,3,0.9988165322002751
54,68,2017-04-13 07:49:00,0.338028169,0.194078947,0.666666667,0.0,0.571428571,3,0.9346336814603023
55,68,2017-04-14 11:47:00,0.676056338,1.0,0.838709677,0.23809523800000001,0.857142857,0,1.0
56,68,2017-04-15 11:10:00,0.0,0.677631579,0.575268817,0.0,0.0,3,0.9923282901463911
57,68,2017-04-16 11:21:00,0.366197183,0.526315789,0.666666667,0.0,0.571428571,3,0.7495975747119954
58,68,2017-04-17 10:51:00,0.08450704199999999,0.559210526,0.43010752700000005,0.095238095,0.28571428600000004,0,0.9998621145349618
59,68,2017-04-18 11:53:00,0.22535211300000002,0.351973684,0.75,0.0,0.428571429,3,0.9741403345925368
60,68,2017-04-19 10:56:00,0.08450704199999999,0.292763158,0.38440860200000004,0.0,0.14285714300000002,3,0.9991112834232481
62,68,2017-04-20 09:18:00,0.39436619700000003,0.7138157890000001,0.258064516,0.0,0.428571429,3,0.9642265081242045
63,68,2017-04-21 09:52:00,0.507042254,0.447368421,0.723073477,0.0,0.857142857,0,0.9875615481485001
64,68,2017-04-22 10:42:00,1.0,0.608552632,0.892473118,0.19047619,0.857142857,0,1.0
65,68,2017-04-23 11:17:00,0.23943662,0.490131579,0.502688172,0.0,0.428571429,3,0.9891133669463062
66,68,2017-04-24 07:51:00,0.309859155,0.174342105,0.217741935,0.0,0.428571429,3,0.9546638232409194
67,68,2017-04-25 07:46:00,0.23943662,0.486842105,0.548387097,0.095238095,0.28571428600000004,0,0.9995238819063124
68,68,2017-04-26 07:53:00,0.563380282,0.411184211,0.545698925,0.0,0.7142857140000001,0,0.9444457121016591
69,68,2017-04-27 07:50:00,0.366197183,0.49342105299999994,0.572580645,0.19047619,0.7142857140000001,0,0.9999999395483901
70,68,2017-04-28 07:49:00,0.21126760600000002,0.345394737,0.322580645,0.0,0.428571429,3,0.9972839360318891
71,68,2017-04-29 11:33:00,0.253521127,0.44078947399999996,0.696236559,0.0,0.571428571,3,0.9032162964858493
73,68,2017-04-30 10:53:00,0.450704225,0.674342105,0.602150538,0.28571428600000004,0.28571428600000004,0,0.9999999944560045
