,user_in_role_id,interval_end,walk_distance,walk_steps,cluster,max_probability
10,67,2017-01-02 01:00:00,0.5778264679999999,0.53766298,1,1.0
21,67,2017-01-03 01:00:00,0.08825591599999999,0.08830254,2,0.9999999877114761
24,67,2017-01-04 01:00:00,0.363891323,0.346103936,3,0.9997473995756317
25,67,2017-01-05 01:00:00,0.2057844,0.197367608,0,0.9965672094896557
26,67,2017-01-06 01:00:00,0.362226117,0.35722671899999997,3,0.9996692485762572
27,67,2017-01-07 01:00:00,0.259246275,0.246060681,0,0.9940154408339454
28,67,2017-01-08 01:00:00,0.8317265559999999,0.615337082,1,1.0
29,67,2017-01-09 01:00:00,0.770902717,0.565346351,1,1.0
0,67,2017-01-10 01:00:00,0.24496056100000002,0.239078045,0,0.9961240585179634
1,67,2017-01-11 01:00:00,0.24320771300000002,0.23920163100000003,0,0.9982992777306575
2,67,2017-01-12 01:00:00,0.241104294,0.241055429,0,0.9982758471450811
3,67,2017-01-13 01:00:00,0.23514461,0.227399123,0,0.999566717335978
4,67,2017-01-14 01:00:00,0.482646801,0.46610640799999997,1,0.9574083824492391
5,67,2017-01-15 01:00:00,0.735758107,0.565408144,1,1.0
6,67,2017-01-16 01:00:00,0.702015776,0.519001421,1,0.9999999999967031
7,67,2017-01-17 01:00:00,0.22813321600000003,0.221775938,0,0.9994248209507672
8,67,2017-01-18 01:00:00,0.24373356699999998,0.237224248,0,0.9988406492925713
9,67,2017-01-19 01:00:00,0.3942156,0.379039733,3,0.9990894509714188
11,67,2017-01-20 01:00:00,0.08720420699999999,0.084965705,2,0.9999999965898496
12,67,2017-01-21 01:00:00,0.252410167,0.243650745,0,0.9925357834537568
13,67,2017-01-22 01:00:00,0.10245398800000001,0.101217327,2,0.9999998895277206
14,67,2017-01-23 01:00:00,0.102716915,0.102144225,2,0.999999866748178
15,67,2017-01-24 01:00:00,0.299737073,0.29314713,3,0.9808289150930785
16,67,2017-01-25 01:00:00,0.25205959699999997,0.251745659,0,0.9932309942508738
17,67,2017-01-26 01:00:00,0.235319895,0.223197182,0,0.999572201718268
18,67,2017-01-27 01:00:00,0.21779141100000002,0.208984737,0,0.9993636328522048
19,67,2017-01-28 01:00:00,0.213234005,0.199839338,0,0.9940367574724971
20,67,2017-01-29 01:00:00,0.027607362000000003,0.02669468,2,0.9999999998785256
22,67,2017-01-30 01:00:00,0.8229623140000001,0.607118581,1,1.0
23,67,2017-01-31 01:00:00,0.21717791399999997,0.21547302699999998,0,0.999439359012851
30,67,2017-02-01 01:00:00,0.388343558,0.37879256,3,0.9963424474199211
41,67,2017-02-02 01:00:00,0.479929886,0.428103565,3,0.6980113500320511
51,67,2017-02-03 01:00:00,0.202804557,0.193289254,0,0.99493052442007
52,67,2017-02-04 01:00:00,0.209903593,0.197738367,0,0.9983891104019315
53,67,2017-02-05 01:00:00,0.900613497,0.699437682,1,1.0
54,67,2017-02-06 01:00:00,0.70035057,0.49181239600000004,1,0.9999999999848228
55,67,2017-02-07 01:00:00,0.393602103,0.37403448100000003,3,0.9978006523186025
56,67,2017-02-08 01:00:00,0.231375986,0.219736761,0,0.9995940358263268
57,67,2017-02-09 01:00:00,0.248115688,0.22276463,0,0.9992455882565949
31,67,2017-02-10 01:00:00,0.24408413699999998,0.23710066100000002,0,0.9984553720957173
32,67,2017-02-11 01:00:00,0.209903593,0.19260952899999997,0,0.9885587441797317
33,67,2017-02-12 01:00:00,0.081419807,0.07884817400000001,2,0.9999999997862119
34,67,2017-02-13 01:00:00,0.126468011,0.124760551,2,0.999937350334786
35,67,2017-02-14 01:00:00,0.329009641,0.31743187300000003,3,0.9998617955632745
36,67,2017-02-15 01:00:00,0.24312007,0.234072792,0,0.9992797623743898
37,67,2017-02-16 01:00:00,0.36801051700000004,0.347154421,3,0.9991812667463347
38,67,2017-02-17 01:00:00,0.29491674,0.28665884,3,0.9437292442724994
39,67,2017-02-18 01:00:00,0.058194565999999996,0.055552122999999995,2,0.9999999999901661
40,67,2017-02-19 01:00:00,0.053461876,0.052215288,2,0.9999999999973284
42,67,2017-02-20 01:00:00,0.068711656,0.06889946200000001,2,0.9999999999713509
43,67,2017-02-21 01:00:00,0.249079755,0.23951059800000002,0,0.9977248249503401
44,67,2017-02-22 01:00:00,0.53006135,0.5248099860000001,1,0.9999680685676726
