,user_in_role_id,interval_end,physicalactivity_calories,physicalactivity_intense_time,physicalactivity_moderate_time,physicalactivity_soft_time,cluster,max_probability
10,67,2017-01-02 01:00:00,0.824486293,0.0,0.67,0.20894926100000003,4,1.0
21,67,2017-01-03 01:00:00,0.686534031,0.0,0.0,0.33559728299999997,3,0.9882617325447207
24,67,2017-01-04 01:00:00,0.764212627,0.0,0.22,0.431482221,0,0.9953469727553949
25,67,2017-01-05 01:00:00,0.719646305,0.0,0.14,0.277381428,0,0.9999339957925232
26,67,2017-01-06 01:00:00,0.763755585,0.0,0.37,0.260259118,0,0.9987071402203168
27,67,2017-01-07 01:00:00,0.734728713,0.0,0.18,0.321899435,0,0.9999910032342982
28,67,2017-01-08 01:00:00,0.9856637840000001,1.0,0.39,0.22601449699999998,1,1.0
29,67,2017-01-09 01:00:00,0.9560772679999999,0.826086957,0.33,0.39387021299999997,1,1.0
0,67,2017-01-10 01:00:00,0.730708603,0.0,0.16,0.325323897,0,0.999994943935966
1,67,2017-01-11 01:00:00,0.730186268,0.0,0.19,0.325323897,0,0.9999215851635771
2,67,2017-01-12 01:00:00,0.729607969,0.0,0.12,0.40751098700000005,0,0.9998176822038959
3,67,2017-01-13 01:00:00,0.727929037,0.0,0.17,0.339021745,0,0.9999222060841804
4,67,2017-01-14 01:00:00,0.79768867,0.0,0.43,0.33559728299999997,0,0.9724163163238558
5,67,2017-01-15 01:00:00,0.9560679409999999,0.7826086959999999,0.4,0.318474973,1,1.0
6,67,2017-01-16 01:00:00,0.916575725,0.6521739129999999,0.36,0.304777125,1,1.0
7,67,2017-01-17 01:00:00,0.725970283,0.0,0.18,0.301352663,0,0.9999922037815531
8,67,2017-01-18 01:00:00,0.730354161,0.0,0.14,0.349295132,0,0.999900002239136
9,67,2017-01-19 01:00:00,0.7727658540000001,0.0,0.32,0.373266366,0,0.9960561316358053
11,67,2017-01-20 01:00:00,0.686235554,0.0,0.02,0.22601449699999998,3,0.9731118021097445
12,67,2017-01-21 01:00:00,0.732788613,0.0,0.21,0.270532504,0,0.9989839720830131
13,67,2017-01-22 01:00:00,0.6905354859999999,0.0,0.0,0.428000685,3,0.995155642707357
14,67,2017-01-23 01:00:00,0.690600778,0.0,0.0,0.35962559200000005,3,0.9937539200599869
15,67,2017-01-24 01:00:00,0.746145451,0.0,0.11,0.44518007,0,0.9972528380027375
16,67,2017-01-25 01:00:00,0.732713994,0.0,0.22,0.24656126899999997,0,0.9999163041600249
17,67,2017-01-26 01:00:00,0.7279756740000001,0.0,0.15,0.287654814,0,0.9999386310808354
18,67,2017-01-27 01:00:00,0.723041479,0.0,0.15,0.239712345,0,0.9999426430335168
19,67,2017-01-28 01:00:00,0.721763625,0.0,0.13,0.332172821,0,0.9997902282402207
20,67,2017-01-29 01:00:00,0.669436905,0.0,0.0,0.140402945,3,0.9975989604017219
22,67,2017-01-30 01:00:00,0.9833226070000001,0.826086957,0.35,0.304777125,1,1.0
23,67,2017-01-31 01:00:00,0.722864258,0.0,0.17,0.22601449699999998,0,0.9999934439343904
